project_name,name,title,deneme,org_id,idea,project_link,nextt,tag,key,description
,Africa Soil Information Service,,,afsis,"<a href=""http://qed.ai/afsis-gsoc"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"afsis, soil, gis, agriculture, machine learning",google/gsoc2015/afsis,
,Apache Software Foundation,,,apache,"<a href=""http://s.apache.org/gsoc2015ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"c, java, python, c++, perl, opensource, apache, erlang, hadoop, big data",google/gsoc2015/apache,
,ASCEND,,,ascend,"<a href=""http://ascend4.org/Student_projects"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"numerical, mathematics, simulation, C, C++, python, GTK, linux, windows, mac, GUI, science, scientific software, parallel, programming language, education, engineering, math, scientific computing, high-performance computing, OSX",google/gsoc2015/ascend,
,BeagleBoard.org,,,beagleboard,"<a href=""http://bit.ly/bbgsocideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"javascript, html, robotics, android, chromium, chromeos, electronics",google/gsoc2015/beagleboard,
,BEAM Community,,,beamcommunity,"<a href=""https://github.com/beamcommunity/beamcommunity.github.com/wiki"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"erlang, elixir, erlang vm, actors, ejabberd, disco, xmpp, distributed, mongoose im",google/gsoc2015/beamcommunity,
,Bika Open Source LIMS Collective,,,bika,"<a href=""https://github.com/bikalabs/Bika-LIMS/wiki/GSoC-2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"python, plone, LIMS, LIS, laboratory management",google/gsoc2015/bika,
,"Biomedical Informatics, Emory University",,,bmi_cci,"<a href=""https://docs.imphub.org/x/FQDg"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"biomedical, healthcare, clinical, imaging, informatics, machine learning, cloud, nosql, spatial databases, visualization, big data, data mining, web services, hadoop, spark, javascript, java, databases",google/gsoc2015/bmi_cci,
,Boost C++ Libraries,,,boostcpp,"<a href=""https://svn.boost.org/trac/boost/wiki/SoC2015"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"c++, boost, peer-reviewed, portable, C++11, C++14, C++0x, C++0y",google/gsoc2015/boostcpp,
,BRL-CAD,,,brlcad,"<a href=""http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"computer graphics, scientific computing, engineering analysis, visualization, CAD, CSG, SMP, signal processing, 3d, engine, 3d modeling, benchmark, raytracing, image processing, graphics, framebuffer, geometry conversion, computer vision, computer-aided design, symmetric multiprocessing, geometry, brlcad, ray tracing, constructive solid geometry, analysis, graphics conversion, mesh, solid modeling, web development, high-perforamnce computing, math, science, tcl, c, c++",google/gsoc2015/brlcad,
,Boston University / XIA,,,bu_xia,"<a href=""https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"Networking, future Internet, crowdsourcing, Future Internet Architecture, FIA, XIA, research, Linux, kernel, C, Ruby, Open vSwitch, OVS, containers, LXC",google/gsoc2015/bu_xia,
,Buildbot,,,buildbot,"<a href=""http://trac.buildbot.net/wiki/ProjectIdeas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"python, twisted, continuous-integration, ci, releng, testing, angularjs, web, mq",google/gsoc2015/buildbot,
,BuildmLearn,,,buildmlearn,"<a href=""https://github.com/BuildmLearn/BuildmLearn-Toolkit/wiki/Google-Summer-of-Code-2015-Ideas"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"mLearning, Qt, C++, Git, Android, Windows Phone, iPhone",google/gsoc2015/buildmlearn,
,CCExtractor development,,,ccextractor,"<a href=""http://www.ccextractor.org/gsoc2015.html"" target=""_blank"" rel=""nofollow"">Ideas page</a>",,,"subtitles, closed captions, video, language, c, mpeg, h264, teletext, ffmpeg, linux, multithreading, network, accessibility, low level, ccextractor",google/gsoc2015/ccextractor,
